round	change	metric_before	metric_after	delta%	status	lines_changed
0	baseline	54.65	54.65	0	kept	0
1	add_missing_sections_trim_bloat_126_skills	54.65	32.65	-40.2%	kept	-12000
2	aggressive_trim_all_skills_under_500_lines	32.65	1.03	-96.8%	kept	-50000
3	remove_vague_words_passive_voice_trim_last_2	1.03	0.59	-42.7%	kept	-92
4	eliminate_passive_voice_194_rewrites	0.59	0.02	-96.6%	kept	-194
5	eliminate_ascii_table_borders_fix_dupes	3.78	1.60	-57.7%	kept	-276
6	remove_condensed_placeholders_dedup_templates	1.60	0.87	-45.6%	kept	-250
7	trim_400_vague_words_missing_sections_dupes	6.46	1.19	-81.6%	kept	-5000
8	autoresearch_align_trim_vague_all_126_skills	8.66	1.23	-85.8%	kept	-4000
9	final_v3_cleanup_vague_passive_weak_ar	1.23	0.76	-38.2%	kept	-70
